answer_id,question,evidence_query,sentence_id,sentence,wiki_title,wiki_evidence,predicted_label,gold_label,notes,gold_label_binary,predicted_label_binary,correct
4,What planet is known as the Red Planet?,Mars,2,It appears reddish because of iron oxide on its surface.,Mars,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",Unsupported,Unsupported,Evidence mentions orange-red appearance but does not clearly say it is because of iron oxide.,Unsupported,Unsupported,True
4,What planet is known as the Red Planet?,Mars,3,Mars is the largest planet in the solar system.,Mars,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",Supported,Contradicted,"Evidence describes Mars as smaller than Earth, so it cannot be the largest planet in the solar system.",Unsupported,Supported,False
5,Who was the first president of the United States?,George Washington,1,George Washington was the first president of the United States.,George Washington,"George Washington was a Founding Father and the first president of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War against the British Empire. He is commonly known as the Father of His Country for his role in bringing about American independence.",Supported,Supported,Evidence says George Washington was the first president of the United States.,Supported,Supported,True
5,Who was the first president of the United States?,George Washington,2,He served from 1789 to 1797.,George Washington,"George Washington was a Founding Father and the first president of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War against the British Empire. He is commonly known as the Father of His Country for his role in bringing about American independence.",Supported,Supported,Evidence says Washington served from 1789 to 1797.,Supported,Supported,True
5,Who was the first president of the United States?,George Washington,3,He was also a military leader during the American Revolution.,George Washington,"George Washington was a Founding Father and the first president of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriot forces to victory in the American Revolutionary War against the British Empire. He is commonly known as the Father of His Country for his role in bringing about American independence.",Supported,Supported,Evidence says Washington commanded the Continental Army during the Revolutionary War.,Supported,Supported,True
6,Who painted the Mona Lisa?,Leonardo da Vinci,1,The Mona Lisa was painted by Leonardo da Vinci.,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",Supported,Unsupported,Evidence says Leonardo was a painter but does not mention the Mona Lisa.,Unsupported,Supported,False
6,Who painted the Mona Lisa?,Leonardo da Vinci,2,Leonardo da Vinci was an Italian artist and inventor.,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",Supported,Unsupported,Evidence supports Italian artist/painter but does not clearly state inventor.,Unsupported,Supported,False
6,Who painted the Mona Lisa?,Leonardo da Vinci,3,He was born in Spain.,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he has also become known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and palaeontology. Leonardo is widely regarded as a genius who epitomised the Renaissance humanist ideal, and his collective works contributed to the development of European art to an extent rivalled only by that of his younger contemporary Michelangelo.",Unsupported,Unsupported,"Evidence does not state where he was born, so Spain is not supported by the retrieved evidence.",Unsupported,Unsupported,True
7,What is the largest planet in the Solar System?,Jupiter,1,Jupiter is the largest planet in the Solar System.,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",Supported,Supported,Evidence says Jupiter is the largest planet in the Solar System.,Supported,Supported,True
7,What is the largest planet in the Solar System?,Jupiter,2,It is a gas giant.,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",Unsupported,Supported,Evidence says Jupiter is a gas giant.,Supported,Unsupported,False
7,What is the largest planet in the Solar System?,Jupiter,3,Jupiter is smaller than Earth.,Jupiter,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. It is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. The diameter of Jupiter is 11 times that of Earth and a tenth that of the Sun. It orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. Jupiter is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",Supported,Contradicted,"Evidence says Jupiter's diameter is 11 times Earth's, contradicting smaller than Earth.",Unsupported,Supported,False
8,Who developed the World Wide Web?,Tim Berners-Lee,1,Tim Berners-Lee developed the World Wide Web.,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",Supported,Supported,Evidence says Tim Berners-Lee is the inventor of the World Wide Web.,Supported,Supported,True
8,Who developed the World Wide Web?,Tim Berners-Lee,2,He is a British computer scientist.,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",Unsupported,Supported,"Evidence says he is an English computer scientist, which supports this claim in context.",Supported,Unsupported,False
8,Who developed the World Wide Web?,Tim Berners-Lee,3,The World Wide Web was created in the nineteenth century.,Tim Berners-Lee,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",Supported,Unsupported,"Evidence does not state when the World Wide Web was created, so the nineteenth-century claim is not supported.",Unsupported,Supported,False
9,What is the tallest mountain above sea level?,Mount Everest,1,Mount Everest is the tallest mountain above sea level.,Mount Everest,"Mount Everest is the highest mountain on Earth above sea level. It lies in the Mahalangur Himal sub-range of the Himalayas and marks part of the China–Nepal border at its summit. Its height was most recently measured in 2020 through a joint survey by Nepalese and Chinese authorities as 8,848.86 m.",Supported,Supported,Evidence says Mount Everest is the highest mountain on Earth above sea level.,Supported,Supported,True
9,What is the tallest mountain above sea level?,Mount Everest,2,It is located in the Himalayas.,Mount Everest,"Mount Everest is the highest mountain on Earth above sea level. It lies in the Mahalangur Himal sub-range of the Himalayas and marks part of the China–Nepal border at its summit. Its height was most recently measured in 2020 through a joint survey by Nepalese and Chinese authorities as 8,848.86 m.",Supported,Supported,Evidence says Mount Everest lies in the Himalayas.,Supported,Supported,True
9,What is the tallest mountain above sea level?,Mount Everest,3,Mount Everest is located in South America.,Mount Everest,"Mount Everest is the highest mountain on Earth above sea level. It lies in the Mahalangur Himal sub-range of the Himalayas and marks part of the China–Nepal border at its summit. Its height was most recently measured in 2020 through a joint survey by Nepalese and Chinese authorities as 8,848.86 m.",Supported,Contradicted,"Evidence says Mount Everest lies in the Himalayas on the China-Nepal border, not South America.",Unsupported,Supported,False
10,What is DNA?,DNA,1,DNA stands for deoxyribonucleic acid.,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",Supported,Supported,Evidence identifies DNA as deoxyribonucleic acid.,Supported,Supported,True
10,What is DNA?,DNA,2,It carries genetic information in living organisms.,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",Unsupported,Supported,Evidence says DNA carries genetic instructions for organisms.,Supported,Unsupported,False
10,What is DNA?,DNA,3,DNA is made of amino acids.,DNA,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.",Supported,Contradicted,"Evidence says DNA is composed of polynucleotide chains, not amino acids.",Unsupported,Supported,False
11,Who wrote Pride and Prejudice?,Pride and Prejudice,1,Pride and Prejudice was written by Jane Austen.,Pride and Prejudice,"Pride and Prejudice is a novel by English author Jane Austen. Written when she was aged 20–21, it was her third novel scribed and became the second to see print when it was published in 1813. A novel of manners, it follows the character development of Elizabeth Bennet, the protagonist of the book, who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",Supported,Supported,Evidence says Pride and Prejudice is by Jane Austen.,Supported,Supported,True
11,Who wrote Pride and Prejudice?,Pride and Prejudice,2,It was first published in 1813.,Pride and Prejudice,"Pride and Prejudice is a novel by English author Jane Austen. Written when she was aged 20–21, it was her third novel scribed and became the second to see print when it was published in 1813. A novel of manners, it follows the character development of Elizabeth Bennet, the protagonist of the book, who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",Unsupported,Supported,Evidence says the novel was published in 1813.,Supported,Unsupported,False
11,Who wrote Pride and Prejudice?,Pride and Prejudice,3,The novel was written by William Shakespeare.,Pride and Prejudice,"Pride and Prejudice is a novel by English author Jane Austen. Written when she was aged 20–21, it was her third novel scribed and became the second to see print when it was published in 1813. A novel of manners, it follows the character development of Elizabeth Bennet, the protagonist of the book, who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",Unsupported,Contradicted,"Evidence says the novel is by Jane Austen, contradicting William Shakespeare.",Unsupported,Unsupported,True
12,What is the currency of Japan?,Japanese yen,1,The currency of Japan is the yen.,Japanese yen,"The yen  is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar (USD) and the euro. It is also widely used as a third reserve currency after the USD and the euro.",Supported,Supported,Evidence says the yen is the currency of Japan.,Supported,Supported,True
12,What is the currency of Japan?,Japanese yen,2,The yen is the official currency of Japan.,Japanese yen,"The yen  is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar (USD) and the euro. It is also widely used as a third reserve currency after the USD and the euro.",Supported,Supported,Evidence says the yen is the official currency of Japan.,Supported,Supported,True
12,What is the currency of Japan?,Japanese yen,3,Japan uses the euro as its official currency.,Japanese yen,"The yen  is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar (USD) and the euro. It is also widely used as a third reserve currency after the USD and the euro.",Supported,Contradicted,"Evidence says the yen is Japan's official currency, contradicting the euro claim.",Unsupported,Supported,False
13,What organ pumps blood through the human body?,Heart,1,The heart pumps blood through the human body.,Heart,"The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. The heart and blood vessels together make up the circulatory system. The pumped blood carries oxygen and nutrients to the tissue, while carrying metabolic waste such as carbon dioxide to the lungs. In humans, the heart is approximately the size of a closed fist and is located between the lungs, in the middle compartment of the chest, called the mediastinum.",Supported,Supported,Evidence says the heart pumps blood through blood vessels.,Supported,Supported,True
13,What organ pumps blood through the human body?,Heart,2,It is part of the circulatory system.,Heart,"The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. The heart and blood vessels together make up the circulatory system. The pumped blood carries oxygen and nutrients to the tissue, while carrying metabolic waste such as carbon dioxide to the lungs. In humans, the heart is approximately the size of a closed fist and is located between the lungs, in the middle compartment of the chest, called the mediastinum.",Supported,Supported,Evidence says the heart and blood vessels make up the circulatory system.,Supported,Supported,True
13,What organ pumps blood through the human body?,Heart,3,The kidneys are mainly responsible for pumping blood.,Heart,"The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. The heart and blood vessels together make up the circulatory system. The pumped blood carries oxygen and nutrients to the tissue, while carrying metabolic waste such as carbon dioxide to the lungs. In humans, the heart is approximately the size of a closed fist and is located between the lungs, in the middle compartment of the chest, called the mediastinum.",Supported,Contradicted,"Evidence says the heart pumps blood, contradicting kidneys as mainly responsible.",Unsupported,Supported,False
14,What is the speed of light?,Speed of light,1,"The speed of light in vacuum is about 299,792,458 meters per second.",Speed of light,"The speed of light is the speed of electromagnetic waves. Light travels at slower speed inside materials like glass or water; its highest speed is in a vacuum. The speed of light in vacuum is a universal physical constant denoted c, exactly equal to 299792458 m⋅s−1. It is exact because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of 1⁄299792458 second. The value 299,792,458 metres per second is approximately 1 billion kilometres per hour; 700 million miles per hour. For other approximations of c, valid for various units and size scales see the infobox. The shorter form, speed of light, means speed of light in vacuum in any context where the vacuum is implied.",Supported,Supported,Evidence gives the speed of light in vacuum as exactly 299792458 m/s.,Supported,Supported,True
14,What is the speed of light?,Speed of light,2,It is commonly represented by the symbol c. Light travels slower than sound in vacuum.,Speed of light,"The speed of light is the speed of electromagnetic waves. Light travels at slower speed inside materials like glass or water; its highest speed is in a vacuum. The speed of light in vacuum is a universal physical constant denoted c, exactly equal to 299792458 m⋅s−1. It is exact because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of 1⁄299792458 second. The value 299,792,458 metres per second is approximately 1 billion kilometres per hour; 700 million miles per hour. For other approximations of c, valid for various units and size scales see the infobox. The shorter form, speed of light, means speed of light in vacuum in any context where the vacuum is implied.",Supported,Contradicted,Evidence supports symbol c but conflicts with the claim that light is slower than sound in vacuum.,Unsupported,Supported,False
15,Who discovered penicillin?,Alexander Fleming,1,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming,"Sir Alexander Fleming was a Scottish physician and microbiologist. He shared the 1945 Nobel Prize in Physiology or Medicine with Howard Florey and Ernst Chain ""for the discovery of penicillin and its curative effect in various infectious diseases"".
This was the first antibiotic substance discovered. His discovery in 1928 of what was later named benzylpenicillin from the mould Penicillium rubens has been described as the ""single greatest victory ever achieved over disease"".",Supported,Supported,Evidence says Fleming discovered penicillin and that the discovery was in 1928.,Supported,Supported,True
15,Who discovered penicillin?,Alexander Fleming,2,Penicillin became an important antibiotic.,Alexander Fleming,"Sir Alexander Fleming was a Scottish physician and microbiologist. He shared the 1945 Nobel Prize in Physiology or Medicine with Howard Florey and Ernst Chain ""for the discovery of penicillin and its curative effect in various infectious diseases"".
This was the first antibiotic substance discovered. His discovery in 1928 of what was later named benzylpenicillin from the mould Penicillium rubens has been described as the ""single greatest victory ever achieved over disease"".",Supported,Supported,Evidence describes penicillin as the first antibiotic substance and important in infectious disease treatment.,Supported,Supported,True
15,Who discovered penicillin?,Alexander Fleming,3,Fleming was born in Scotland.,Alexander Fleming,"Sir Alexander Fleming was a Scottish physician and microbiologist. He shared the 1945 Nobel Prize in Physiology or Medicine with Howard Florey and Ernst Chain ""for the discovery of penicillin and its curative effect in various infectious diseases"".
This was the first antibiotic substance discovered. His discovery in 1928 of what was later named benzylpenicillin from the mould Penicillium rubens has been described as the ""single greatest victory ever achieved over disease"".",Unsupported,Unsupported,Evidence says Fleming was Scottish but does not clearly state that he was born in Scotland.,Unsupported,Unsupported,True
16,What is photosynthesis?,Photosynthesis,1,Photosynthesis is the process plants use to make food.,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",Supported,Supported,Evidence describes photosynthesis as a process used by plants and other autotrophic organisms to make chemical energy.,Supported,Supported,True
16,What is photosynthesis?,Photosynthesis,2,It uses light energy to convert carbon dioxide and water into sugars.,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",Supported,Unsupported,Evidence supports light energy and sugars but does not clearly state carbon dioxide and water are converted into sugars.,Unsupported,Supported,False
16,What is photosynthesis?,Photosynthesis,3,Photosynthesis mainly happens in animals.,Photosynthesis,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms, such as most plants, algae and cyanobacteria, convert light energy—typically from sunlight—into the chemical energy necessary to fuel their metabolism. The term photosynthesis usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting. Photosynthetic organisms store the converted chemical energy within the bonds of intracellular organic compounds, typically carbohydrates like sugars, starches, phytoglycogen and cellulose. When needing to use this stored energy, an organism's cells then metabolize the organic compounds through cellular respiration. Photosynthesis plays a critical role in producing and maintaining the oxygen content of the Earth's atmosphere, and it supplies most of the biological energy necessary for complex life on Earth.",Supported,Contradicted,"Evidence says photosynthesis occurs in plants, algae, and cyanobacteria, contradicting mainly animals.",Unsupported,Supported,False
17,Where is the Great Pyramid of Giza located?,Great Pyramid of Giza,1,The Great Pyramid of Giza is located in Egypt.,Great Pyramid of Giza,"The Great Pyramid of Giza is the largest of the Egyptian pyramids and the most famous landmark of the Giza pyramid complex in Giza, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only wonder that has remained largely intact. The Great Pyramid served as the tomb of Egyptian Pharaoh Khufu (""Cheops""), who ruled during the Fourth Dynasty of the Old Kingdom. It was built c. 2600 BC over a period of about 26 years.",Supported,Supported,"Evidence says the Great Pyramid of Giza is in Giza, Egypt.",Supported,Supported,True
17,Where is the Great Pyramid of Giza located?,Great Pyramid of Giza,2,It is part of the Giza pyramid complex.,Great Pyramid of Giza,"The Great Pyramid of Giza is the largest of the Egyptian pyramids and the most famous landmark of the Giza pyramid complex in Giza, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only wonder that has remained largely intact. The Great Pyramid served as the tomb of Egyptian Pharaoh Khufu (""Cheops""), who ruled during the Fourth Dynasty of the Old Kingdom. It was built c. 2600 BC over a period of about 26 years.",Supported,Supported,Evidence says it is a landmark of the Giza pyramid complex.,Supported,Supported,True
17,Where is the Great Pyramid of Giza located?,Great Pyramid of Giza,3,It was built in modern-day China.,Great Pyramid of Giza,"The Great Pyramid of Giza is the largest of the Egyptian pyramids and the most famous landmark of the Giza pyramid complex in Giza, Egypt. It is the oldest of the Seven Wonders of the Ancient World, and the only wonder that has remained largely intact. The Great Pyramid served as the tomb of Egyptian Pharaoh Khufu (""Cheops""), who ruled during the Fourth Dynasty of the Old Kingdom. It was built c. 2600 BC over a period of about 26 years.",Unsupported,Contradicted,"Evidence locates it in Egypt, contradicting modern-day China.",Unsupported,Unsupported,True
18,Who proposed the laws of motion?,Isaac Newton,1,Isaac Newton proposed the laws of motion.,Isaac Newton,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science.",Supported,Unsupported,Evidence discusses Newton and classical mechanics but does not clearly mention the laws of motion.,Unsupported,Supported,False
